surrogate_key,payment_type,payment_installments
b37e69de-0bc7-4e71-9311-dd0da71cbfa6,credit_card,8
d71f5a1f-e67a-4ce1-a861-02235e007b35,credit_card,1
8c753943-7b3d-48e1-8705-cb2d0027f970,credit_card,2
4b21f2fd-76a6-406b-b7e1-421b9e4b8462,credit_card,3
100c43ba-db02-4c19-88da-6305d7b4e650,credit_card,6
939eb789-8f99-4e9b-a58e-22c259c98a4e,ticket,1
50bc46ef-bea2-4bf4-b9ea-cecacde46ffd,credit_card,5
332a8f44-6552-45a4-b153-e59d00950204,credit_card,4
54c3b224-48ba-46c7-a7e9-674990dcae36,credit_card,10
bd4e2789-41a0-4760-9d67-33a0ed3fcad5,voucher,1
2590e1fa-9f1b-4721-9058-07e584976ccc,debit_card,1
40902225-c052-462b-9eeb-998b6b17caa7,credit_card,7
83cf3071-d458-4fd8-9876-2f680f3c717b,credit_card,12
c19b0d71-2b5e-404b-9268-333b1f4b7f52,credit_card,9
302c7901-b8cf-4bfa-b341-c1de209d856a,credit_card,13
30bf7602-a493-4421-a2f6-5322f65188df,credit_card,15
5e0e8df4-c4f7-4c33-a8d4-b40cf09c38d0,credit_card,24
cb02defb-898a-48d1-80a6-e5a1a41ec0da,credit_card,11
e3ee6f3c-ca62-4dc3-a82d-c4fff7a6fc7a,credit_card,18
49d7d2a4-fceb-4dfa-a9e4-02c7e9ea6485,credit_card,14
fd131a88-2ea4-4a25-b699-22298b8bde7a,credit_card,20
ad7f12ca-9a9f-447c-bf62-c3400be8c85f,credit_card,21
ee0a2784-d655-4922-8fcf-fdf88e353895,credit_card,17
71323cab-74f9-44a9-8d9c-d0662669144e,credit_card,22
1aec41c5-67ac-4421-a4df-b169fd9b753d,credit_card,0
d34bb065-132b-4bd0-ae39-701570b587ce,not_defined,1
677ad2a7-2b30-4b8b-be31-43c06ffdf18d,credit_card,16
8b251ae4-814f-47cb-ab0d-8530b075ea87,credit_card,23
