surrogate_key,natural_key,category_name_en,product_weight_g,product_length_cm,product_height_cm,product_width_cm
9a7b9fae-8216-494b-b207-620c500a1620,24fee4a800146a47846fa0e345b6d6ed,agro_industry_and_commerce,800.0,20.0,20.0,20.0
c36b6456-4934-4797-9558-a2cd7b5922b5,1f541a93f4fa4b8d15c7d5ed83836484,agro_industry_and_commerce,12850.0,41.0,42.0,47.0
503f1e63-6a26-49dd-bfcf-5c227621f931,f72b26eeffe2345b486cfeb723305bac,agro_industry_and_commerce,13150.0,35.0,63.0,40.0
561c1393-a21d-44b6-bdce-69121c781e8b,a6bfd5412c292e6ab465ba7d7f794727,agro_industry_and_commerce,200.0,16.0,2.0,20.0
9c8e7966-db63-41b1-a131-b4f8fa759609,db96ef2aef93a5a96d1e3296a32648e5,agro_industry_and_commerce,12400.0,55.0,32.0,32.0
54a8c423-3c12-4d25-bc29-096da3a61e22,b5015f9057f27b5bdefde4ca99368b54,agro_industry_and_commerce,250.0,18.0,8.0,12.0
da6d2c2c-537f-408b-a58a-ea112ce8b032,5f0a49e6e539d4e186eeddfd69db9863,agro_industry_and_commerce,200.0,24.0,13.0,13.0
235afcde-81b9-4fa5-9b83-b7082d963f00,3e3f442db862cb6fe99389a41b7acb84,agro_industry_and_commerce,12800.0,67.0,57.0,30.0
fc83027e-1ab3-4a03-a145-4b707e7fb53b,1df1a2df8ad2b9d3aa49fd851e3145ad,agro_industry_and_commerce,8650.0,39.0,45.0,23.0
61d756b4-c594-491c-8b10-4cb7999114df,18ea29d5e42eea2c720cafb650f572f3,agro_industry_and_commerce,50.0,16.0,6.0,13.0
01e2035c-ab9c-4fcd-8661-3115de47f7c3,163a503e8aa4c48bfd077f416e4341d4,agro_industry_and_commerce,2650.0,52.0,13.0,32.0
890f020d-101b-4fab-ad7e-cc9b8d29992e,52510930c23a1b9c337a0a9306a3645c,agro_industry_and_commerce,3000.0,50.0,20.0,30.0
db2e6203-aa21-4576-8849-490f848587d6,613d093272cb8f74f25a01e430155a6a,agro_industry_and_commerce,1050.0,38.0,41.0,39.0
d3aee8ff-f2aa-45d0-aeee-9d8f081efddf,cf4f52b8f3c906f11d98e8866614f140,agro_industry_and_commerce,600.0,30.0,15.0,15.0
433a01ee-57c8-498e-9d7e-925f3ddd5bdf,b7a60a397d4efd05c1b5d398fb9f9097,agro_industry_and_commerce,22050.0,40.0,42.0,36.0
6a42a883-ec01-44c0-8847-80d2356a9aa8,c183fd5d2abf05873fa6e1014ed9e06c,agro_industry_and_commerce,1500.0,22.0,16.0,24.0
39d47e39-7b3b-4489-8050-20d71d39691e,ba1d7e7ee1f055d252a2faa8ea3cea9b,agro_industry_and_commerce,1900.0,45.0,15.0,40.0
a48df255-1e80-4398-a4ab-fcbec2580e99,6ff1fc9209c7854704a4f75c9fac41b4,agro_industry_and_commerce,233.0,16.0,5.0,13.0
e11112c9-879f-4647-a582-9455021eea25,66e94c5c07d64d44c16cd6903a79a453,agro_industry_and_commerce,12700.0,56.0,32.0,32.0
0edb231c-97db-4fb3-9cc9-4f3aaa7d44b8,1db1301d6b2401401a26dd1aabcb809e,agro_industry_and_commerce,4600.0,22.0,22.0,22.0
ae8d040c-ec99-4ab5-96f0-6fe7bda681c9,4ea69fe7483b9c2a54bd05c2c2b02c93,agro_industry_and_commerce,2663.0,30.0,27.0,25.0
097b3971-fc3d-4ed9-a6d3-a84bda8bd73a,cd2f5c10e4e8dbc701f0bb68a09fdfe8,agro_industry_and_commerce,16100.0,40.0,42.0,36.0
3fc4ffc9-5146-4b0b-82a8-2c36e0f7d129,f075897551d47345068c1d90ed454fe1,agro_industry_and_commerce,6820.0,54.0,54.0,35.0
a8485b1b-dbe5-4cea-aad3-2f594ac0e76b,b8faf829f47ba1f35f169da4acbdb88d,agro_industry_and_commerce,6950.0,36.0,30.0,33.0
f6e83bd5-f577-4f47-95fe-b64ae2ead0b5,5b951e54437768080925aabe01e24348,agro_industry_and_commerce,380.0,22.0,11.0,14.0
3a2305e4-1ed1-4e79-9661-754ae021b426,07f01b6fcacc1b187a71e5074199db2d,agro_industry_and_commerce,16400.0,63.0,66.0,56.0
4618608a-e1a2-4ab4-ae1f-5003c0bc8221,0b2a1288e8ba64c797e7586c8df75602,agro_industry_and_commerce,3450.0,33.0,36.0,33.0
