year,month,month_date,revenue_items_only,revenue_including_freight,sold_items
2016,9,2016-09-01,267.36,354.75,6
2016,10,2016-10-01,49507.66,56808.84,363
2016,12,2016-12-01,10.9,19.62,1
2017,1,2017-01-01,120312.87,137188.49,955
2017,2,2017-02-01,247303.02,286280.62,1951
2017,3,2017-03-01,374344.3,432048.59,3000
2017,4,2017-04-01,359927.23,412422.24,2684
2017,5,2017-05-01,506071.14,586190.95,4136
2017,6,2017-06-01,433038.6,502963.04,3583
2017,7,2017-07-01,498031.48,584971.62,4519
2017,8,2017-08-01,573971.68,668204.6,4910
2017,9,2017-09-01,624401.69,720398.91,4831
2017,10,2017-10-01,664219.43,769312.37,5322
2017,11,2017-11-01,1010271.37,1179143.77,8665
2017,12,2017-12-01,743914.17,863547.23,6308
2018,1,2018-01-01,950030.36,1107301.89,8208
2018,2,2018-02-01,844178.71,986908.96,7672
2018,3,2018-03-01,983213.44,1155126.82,8217
2018,4,2018-04-01,996647.75,1159698.04,7975
2018,5,2018-05-01,996517.68,1149781.82,7925
2018,6,2018-06-01,865124.31,1022677.11,7078
2018,7,2018-07-01,895507.22,1058728.03,7092
2018,8,2018-08-01,854686.33,1003308.47,7248
2018,9,2018-09-01,145.0,166.46,1
