customer_region,customer_state,customer_city,revenue_items_only,orders_count
sudeste,SP,sao paulo,1916401.34,15405
sudeste,RJ,rio de janeiro,991171.46,6828
sudeste,MG,belo horizonte,356011.55,2753
centro_oeste,DF,brasilia,301279.96,2114
sul,PR,curitiba,211437.98,1509
sul,RS,porto alegre,190562.08,1372
sudeste,SP,campinas,187963.63,1429
nordeste,BA,salvador,181013.42,1238
sudeste,SP,guarulhos,144123.39,1177
sudeste,RJ,niteroi,118225.6,848
centro_oeste,GO,goiania,106431.17,689
sudeste,SP,sao bernardo do campo,104540.99,928
sudeste,SP,santos,98480.6,704
nordeste,CE,fortaleza,97768.16,649
sudeste,SP,santo andre,92028.6,792
nordeste,PE,recife,89149.13,608
sul,SC,florianopolis,85344.19,564
sudeste,SP,osasco,82034.96,740
sudeste,SP,jundiai,81408.67,563
norte,PA,belem,80078.49,441
sudeste,SP,sao jose dos campos,78605.47,685
sudeste,SP,sorocaba,76345.76,623
sudeste,SP,ribeirao preto,65687.11,508
sudeste,MG,juiz de fora,65359.77,427
sudeste,RJ,nova iguacu,60089.1,438
centro_oeste,MS,campo grande,57121.67,315
nordeste,PB,joao pessoa,53414.8,255
sudeste,ES,vitoria,53160.79,377
sudeste,RJ,sao goncalo,52399.94,405
sudeste,SP,piracicaba,52307.98,366
sudeste,SP,mogi das cruzes,52009.87,379
sudeste,SP,barueri,51678.25,430
nordeste,MA,sao luis,50706.91,346
nordeste,PI,teresina,49967.43,280
sudeste,MG,contagem,49542.22,423
sudeste,MG,uberlandia,48447.98,371
sudeste,ES,vila velha,48285.18,333
sudeste,SP,sao jose do rio preto,47212.25,333
sul,PR,londrina,46390.26,302
nordeste,AL,maceio,45427.48,247
sudeste,SP,maua,43864.96,320
sudeste,SP,bauru,39462.26,270
sudeste,SP,praia grande,39392.27,309
centro_oeste,MT,cuiaba,39171.17,248
sul,RS,caxias do sul,38480.07,224
sul,PR,maringa,38007.19,269
sudeste,SP,indaiatuba,37334.1,278
nordeste,SE,aracaju,36570.81,220
sudeste,ES,serra,36357.33,285
sudeste,SP,taboao da serra,35849.16,291
nordeste,RN,natal,35729.67,204
sudeste,MG,divinopolis,35301.77,135
sudeste,RJ,campos dos goytacazes,34843.36,239
sul,SC,joinville,34772.57,263
sudeste,RJ,duque de caxias,34345.66,264
sudeste,SP,marilia,33904.28,196
sudeste,RJ,volta redonda,33354.0,228
sudeste,RJ,petropolis,33208.11,237
sudeste,SP,sao caetano do sul,32402.6,274
sudeste,SP,carapicuiba,32235.88,325
sul,RS,santa maria,31935.71,195
sudeste,RJ,macae,31337.8,237
sudeste,SP,cotia,30721.63,245
sudeste,MG,betim,30041.31,202
sudeste,SP,guaruja,29896.66,226
sudeste,SP,sao carlos,29743.95,233
sudeste,SP,taubate,29724.56,267
sudeste,SP,diadema,29362.07,283
sudeste,MG,uberaba,28690.9,189
sudeste,RJ,nova friburgo,28024.89,150
nordeste,BA,feira de santana,27652.19,185
sul,RS,canoas,26835.25,210
sudeste,MG,montes claros,26690.89,211
sudeste,SP,presidente prudente,26196.13,160
sudeste,SP,suzano,25241.77,233
sudeste,SP,americana,25111.37,222
sul,SC,blumenau,24755.36,187
sul,PR,cascavel,23805.62,149
sudeste,SP,limeira,23083.89,189
sudeste,SP,santana de parnaiba,22915.05,182
sudeste,SP,valinhos,22546.55,183
sul,RS,pelotas,22387.13,184
sudeste,MG,ipatinga,21957.22,171
norte,RO,porto velho,21858.63,108
sudeste,SP,franca,21757.23,157
sudeste,SP,sumare,21487.92,181
nordeste,PE,jaboatao dos guararapes,21405.16,135
sudeste,MG,pouso alegre,21372.21,131
sudeste,SP,sao vicente,21029.69,162
sudeste,SP,atibaia,20913.21,157
sudeste,MG,nova lima,20846.53,97
sudeste,SP,embu das artes,20727.72,164
norte,AM,manaus,20652.56,139
sudeste,SP,araraquara,20352.07,154
sul,SC,sao jose,20320.56,167
