seller_id,seller_region,seller_state,seller_city,revenue_items_only,revenue_including_freight,orders_count,sold_items
4869f7a5dfa277a7dca6462dcf3b52b2,sudeste,SP,guariba,229472.63,249640.7,1132,1156
53243585a1d6dc2643021fd1853d8905,nordeste,BA,lauro de freitas,222776.05,235856.68,358,410
4a3ca9315b744ce9f8e9374361493884,sudeste,SP,ibitinga,200472.92,235539.96,1806,1987
fa1c13f2614d7b5c4749cbc52fecda94,sudeste,SP,sumare,194042.03,204084.73,585,586
7c67e1448b00f6e969d365cea6b010ab,sudeste,SP,itaquaquecetuba,187923.89,239536.44,982,1364
7e93a43ef30c4f03f38b393420bc753a,sudeste,SP,barueri,176431.87,182754.05,336,340
da8622b14eb17ae2831f4ac5b9dab84a,sudeste,SP,piracicaba,160236.57,185192.32,1314,1551
7a67c85e85bb2ce8582c35f2203ad736,sudeste,SP,sao paulo,141745.53,162648.38,1160,1171
1025f0e2d44d7041d6cf58b6550e0bfa,sudeste,SP,sao paulo,138968.55,172860.69,915,1428
955fee9216a65b617aa5c0531780ce60,sudeste,SP,sao paulo,135171.7,160602.68,1287,1499
46dc3b2cc0980fb8ec44634e21d2718e,sudeste,RJ,rio de janeiro,128111.19,139909.69,521,542
6560211a19b47992c3666cc44a7e94c0,sudeste,SP,sao paulo,123304.83,151265.77,1854,2033
620c87c171fb2a6dd6e8bb4dec959fc6,sudeste,RJ,petropolis,114774.5,128909.71,740,798
7d13fca15225358621be4086e1eb0964,sudeste,SP,ribeirao preto,113628.97,122261.02,565,578
5dceca129747e92ff8ef7a997dc4f8ca,sudeste,SP,santa barbara d'oeste,112155.53,125816.92,325,346
1f50f920176fa81dab994f9023523100,sudeste,SP,sao jose do rio preto,106939.21,142104.98,1404,1931
cc419e0650a3c5ba77189a1882b7556a,sudeste,SP,santo andre,104288.42,129957.41,1706,1775
a1043bafd471dff536d0c462352beb48,sudeste,MG,ilicinea,101901.16,133745.25,718,770
3d871de0142ce09b7081e2b9d1733cb1,sudeste,SP,campo limpo paulista,94914.2,117347.71,1080,1147
edb1ef5e36e0c8cd84eb3c9b003e486d,sudeste,RJ,teresopolis,79284.55,83189.65,166,175
