year,month,avg_delivery_days,min_delivery_days,max_delivery_days,delivered_orders
2016,9,55.0,55,55,1
2016,10,19.63,5,70,265
2016,12,5.0,5,5,1
2017,1,12.75,1,104,750
2017,2,13.3,2,210,1653
2017,3,13.04,2,196,2546
2017,4,15.02,1,168,2303
2017,5,11.43,1,183,3545
2017,6,12.01,0,175,3135
2017,7,11.49,1,86,3872
2017,8,11.02,1,115,4193
2017,9,11.72,1,132,4150
2017,10,11.73,1,110,4478
2017,11,15.07,1,173,7288
2017,12,15.31,1,138,5513
2018,1,14.01,1,191,7069
2018,2,16.87,1,208,6555
2018,3,16.24,1,104,7003
2018,4,11.42,1,108,6798
2018,5,11.34,1,143,6749
2018,6,9.16,1,137,6096
2018,7,8.89,1,78,6156
2018,8,7.66,1,51,6351
