payment_type,payment_installments,orders_count,total_payment_value,avg_payment_value
credit_card,0,2,188.63,94.32
credit_card,1,24571,2418165.53,98.42
credit_card,2,12255,1564911.66,127.7
credit_card,3,10343,1482418.62,143.33
credit_card,4,7029,1156865.23,164.58
credit_card,5,5192,953099.18,183.57
credit_card,6,3873,815019.4,210.44
credit_card,7,1609,302312.32,187.89
credit_card,8,4232,1309818.61,309.5
credit_card,9,637,130011.79,204.1
credit_card,10,5256,2183392.53,415.41
credit_card,11,23,2873.44,124.93
credit_card,12,133,42783.24,321.68
credit_card,13,16,2407.4,150.46
credit_card,14,14,2369.83,169.27
credit_card,15,73,31591.42,432.76
credit_card,16,5,1463.47,292.69
credit_card,17,8,1396.82,174.6
credit_card,18,27,13135.05,486.48
credit_card,20,17,10468.63,615.8
credit_card,21,3,731.1,243.7
credit_card,22,1,228.71,228.71
credit_card,23,1,236.48,236.48
credit_card,24,17,10392.3,611.31
debit_card,1,1527,217939.79,142.72
not_defined,1,3,0.0,0.0
ticket,1,19784,2869361.27,145.03
voucher,1,2789,291541.12,104.53
