customer_state,seller_state,orders_count,revenue_items_only
SP,SP,31503,3618039.77
RJ,SP,8453,1105828.77
MG,SP,7593,947843.48
SP,PR,3019,468365.85
RS,SP,3670,452303.61
PR,SP,3179,404510.35
SP,MG,2634,322356.47
BA,SP,2387,321932.06
SC,SP,2368,309458.17
SP,RJ,1382,270709.08
SP,SC,1349,204236.76
GO,SP,1465,196416.11
ES,SP,1491,190065.84
RJ,RJ,996,188092.72
MG,MG,1573,185552.0
DF,SP,1414,178781.12
PE,SP,1172,162756.71
RJ,MG,1196,155101.29
CE,SP,1007,154712.15
RJ,PR,1007,149598.0
MG,PR,839,139921.41
SP,RS,685,117511.02
PA,SP,701,116300.78
MG,RJ,566,107849.67
PR,PR,735,106860.4
MT,SP,664,98749.98
RS,PR,596,86938.65
MG,SC,441,80640.89
RJ,SC,483,79778.29
SP,BA,141,73671.62
MS,SP,483,73568.97
MA,SP,508,69105.62
PB,SP,350,68072.43
SC,PR,398,60372.68
RS,RS,295,56923.74
RN,SP,341,55717.82
PI,SP,343,51477.83
RJ,RS,249,50082.11
RS,SC,301,49423.8
SC,SC,265,47812.35
PR,MG,370,47644.5
BA,MG,379,46146.29
PR,SC,289,43979.11
AL,SP,267,43532.5
MG,RS,190,43347.0
PR,RJ,207,41065.05
RS,RJ,208,36746.77
SP,DF,315,36512.72
RJ,BA,85,36338.99
RS,MG,285,36130.14
TO,SP,201,36098.79
SC,MG,259,35720.47
BA,PR,148,35105.38
SE,SP,213,33950.35
DF,MG,192,32117.24
MG,BA,53,30035.08
BA,RJ,138,29599.44
BA,BA,70,28408.45
DF,PR,153,27699.64
RO,SP,171,26648.77
PE,PR,90,23829.39
SP,PE,105,23183.12
ES,PR,110,22754.71
SC,RJ,118,22559.14
PE,RJ,95,22464.66
SP,GO,131,21996.83
ES,MG,180,21494.35
SC,RS,118,20852.7
GO,PR,91,19800.39
GO,RJ,111,19730.25
BA,SC,84,19629.09
GO,MG,155,19384.9
PR,RS,142,18876.33
DF,RJ,104,18257.16
PA,PR,56,16986.73
GO,SC,56,16656.91
MT,PR,65,16475.16
ES,RJ,100,16061.36
SP,ES,102,15805.26
CE,PR,66,14995.91
PE,BA,33,14824.09
MG,GO,84,13598.83
RS,BA,22,13588.08
PA,MG,87,13219.56
PE,MG,112,13180.1
AM,SP,100,13066.17
CE,RJ,57,12889.7
AL,PR,39,12587.92
RJ,DF,101,12441.87
MG,DF,103,12350.35
SP,MA,125,11610.69
MS,PR,55,11573.98
MT,MG,53,11289.27
MS,MG,65,11178.0
MG,PE,62,10585.89
AC,SP,58,10441.34
AL,MG,36,10215.15
PB,PR,41,10187.54
CE,MG,76,10080.9
DF,SC,70,9991.11
RJ,ES,61,9946.54
RJ,PE,43,9938.58
PE,SC,40,9853.8
BA,RS,42,9802.85
DF,RS,48,9752.0
MA,BA,16,9741.0
PB,BA,10,9674.99
SC,BA,16,9582.41
MT,RS,22,9320.69
MA,MG,70,9271.77
PB,MG,50,9206.28
MA,PR,42,9079.52
PI,PR,27,8982.9
DF,BA,17,8804.49
ES,SC,52,8748.38
CE,BA,14,8730.89
CE,SC,23,8197.07
AP,SP,50,8079.88
PA,RJ,38,7949.09
MS,SC,31,7751.66
MS,RJ,33,7178.48
PB,SC,19,6505.95
PI,RJ,23,6456.36
MT,SC,28,6284.79
RJ,PB,10,6274.11
PA,SC,19,6251.08
BA,PE,26,6137.4
RN,RJ,23,6105.46
MA,RJ,29,6021.22
RS,PE,13,6018.11
RR,SP,36,5936.84
RJ,GO,58,5799.15
RO,RJ,13,5605.45
BA,DF,36,5421.08
MA,SC,22,5289.59
SE,MG,36,5204.5
PB,RJ,25,5158.42
PA,BA,8,5151.67
PA,RS,22,5144.6
GO,RS,25,5073.89
SP,CE,25,4995.42
PI,SC,19,4924.79
PR,BA,11,4897.32
DF,PE,16,4865.6
SE,PR,23,4812.85
MG,ES,45,4756.32
PR,DF,28,4673.7
RN,MG,30,4634.16
MT,RJ,30,4619.16
RN,SC,14,4452.58
DF,DF,50,4426.55
PE,RS,17,4424.75
SE,BA,10,4215.85
SP,MT,32,4204.22
RO,PR,18,4128.09
MT,BA,5,4105.13
PI,MG,32,4066.02
ES,PE,17,4054.29
CE,PE,17,4030.26
MA,GO,9,4024.72
SP,PB,8,3941.1
RJ,CE,10,3916.86
RN,PR,20,3896.09
CE,RS,12,3838.86
AL,BA,9,3820.77
RS,DF,22,3630.55
SC,PE,9,3626.2
SE,RS,8,3498.55
RJ,MA,41,3399.58
GO,GO,31,3389.01
GO,DF,31,3240.63
GO,BA,8,3234.48
ES,RS,24,3183.36
MG,MA,32,3138.67
PI,RS,11,3048.65
PI,BA,9,3023.51
SP,MS,19,2979.99
PE,PE,23,2954.97
BA,ES,23,2934.88
GO,PE,12,2927.5
DF,GO,29,2851.04
PI,PE,8,2766.9
RS,ES,19,2657.48
TO,SC,12,2616.37
RO,BA,3,2608.9
TO,RJ,14,2601.13
SC,ES,14,2599.37
ES,BA,11,2432.09
PR,RN,4,2423.0
RO,SC,9,2411.38
TO,MG,17,2391.14
DF,MA,27,2389.72
TO,PR,16,2389.19
PB,RS,8,2331.16
MS,RS,16,2306.97
RN,PE,4,2277.7
SE,RJ,19,2268.08
AM,RJ,9,2260.43
SE,SC,17,2234.47
MG,MT,20,2222.95
CE,CE,9,2217.72
SP,RO,7,2174.78
ES,DF,19,2142.53
AC,MG,10,2096.5
PR,ES,15,2052.28
PE,MA,22,2018.77
CE,GO,12,2013.4
SC,DF,21,2010.85
AL,RS,10,1996.01
SC,MA,19,1970.8
RJ,MT,13,1960.5
AM,MG,13,1943.56
RS,MA,17,1923.83
RN,BA,9,1872.85
RO,RS,10,1851.06
AL,SC,11,1834.21
RJ,MS,9,1827.86
MA,RS,13,1813.1
RJ,RO,2,1799.98
AM,PR,11,1784.79
PA,GO,10,1767.68
GO,MA,16,1765.83
AP,PR,2,1708.14
CE,DF,15,1687.75
AP,BA,2,1626.9
AL,RJ,13,1611.04
GO,ES,3,1587.5
RN,RS,8,1562.67
RS,RN,4,1551.8
MG,PB,2,1548.5
PA,DF,11,1506.51
RS,GO,13,1468.08
TO,BA,2,1449.0
SE,PE,7,1426.7
BA,RN,5,1424.9
RO,MG,14,1400.59
AM,BA,1,1340.0
AL,PE,9,1280.69
PR,GO,9,1274.71
PA,ES,3,1258.0
MT,DF,12,1213.31
AC,BA,1,1200.0
MA,MA,14,1191.85
PE,DF,10,1178.22
BA,GO,8,1164.79
PR,PE,9,1145.16
SC,GO,10,1139.68
ES,MA,13,1135.87
ES,ES,7,1134.0
PA,PE,5,1132.89
GO,MT,10,1110.65
PE,GO,11,1102.02
MT,PB,1,1099.0
PE,CE,7,1094.66
AC,SC,4,1094.45
PB,PE,8,1064.2
AL,DF,4,1049.8
BA,PB,2,1028.9
SP,PA,6,1000.0
MA,CE,2,998.0
PR,MT,8,954.54
MT,GO,9,950.04
AL,AM,1,949.0
RS,MT,6,911.8
ES,GO,5,903.43
MA,DF,8,898.85
CE,RN,3,881.9
RR,PR,5,872.0
RN,RN,21,866.9
BA,MA,10,861.9
PB,RN,2,858.9
PA,CE,3,857.47
AL,PB,1,849.5
RJ,RN,2,838.9
MS,BA,2,834.0
MG,MS,4,821.6
CE,MA,9,817.91
PE,MT,6,782.5
AM,RS,5,773.7
PB,GO,7,771.67
PE,PB,2,746.9
PR,MA,9,744.91
AM,SC,4,736.4
PR,MS,4,735.78
PR,CE,5,730.22
MA,PE,5,703.19
MT,ES,6,686.7
RN,DF,6,683.18
DF,MT,7,681.2
PI,DF,8,677.92
AL,GO,6,673.36
MT,MT,6,653.64
SC,CE,2,634.0
MS,GO,8,616.74
RO,CE,1,599.0
DF,MS,4,598.88
BA,MT,4,589.0
SC,MT,5,560.02
AP,SC,4,550.89
CE,PB,2,544.3
RR,SC,1,539.9
PA,MA,5,538.95
TO,DF,5,535.56
TO,RS,4,529.89
BA,MS,3,509.7
PE,ES,6,503.7
SE,MA,5,498.95
AP,RS,3,494.8
SP,RN,5,494.5
PI,MA,5,490.95
RO,PE,3,489.7
DF,PB,1,489.5
PB,CE,1,469.0
MS,MT,5,458.3
MT,CE,2,449.7
PA,MT,3,446.0
MG,PI,2,443.0
MS,DF,7,441.47
PB,DF,8,433.68
SE,CE,3,423.9
TO,ES,2,419.8
MA,MT,3,415.9
AP,MG,3,407.9
GO,CE,1,399.0
RN,CE,1,399.0
SE,DF,3,393.4
MG,CE,4,386.8
PR,SE,1,378.0
AC,MS,1,369.8
GO,SE,1,360.8
SP,SE,2,357.9
RR,BA,1,349.0
MT,MA,4,347.96
MA,ES,2,341.89
BA,CE,3,327.3
CE,ES,3,326.99
ES,CE,3,319.8
PB,MT,2,312.8
MS,MA,3,309.97
PB,MA,4,299.96
AP,PE,1,299.8
SC,PI,1,295.0
CE,PI,1,295.0
PR,PI,1,295.0
PE,PI,1,295.0
PI,PI,1,295.0
MS,PE,2,285.2
MA,PI,1,285.0
AL,CE,2,284.0
BA,RO,1,279.99
ES,MT,2,272.9
PI,CE,3,269.9
SP,AC,1,267.0
AL,MA,4,260.96
GO,MS,1,258.99
TO,GO,5,252.99
SC,RN,1,249.0
PA,RN,1,249.0
PI,GO,2,246.35
AC,RS,2,219.08
CE,MT,2,210.0
PE,SE,2,209.8
PR,RO,1,208.1
AC,DF,1,199.0
RO,MT,2,193.9
RN,MA,3,189.97
TO,MA,2,187.98
PI,ES,2,187.0
PB,PB,1,179.99
RN,ES,2,179.9
AC,PR,1,179.9
AM,GO,2,178.9
SC,MS,1,174.9
DF,CE,1,152.49
RS,RO,1,149.99
TO,PE,1,149.9
AM,CE,1,149.9
MT,PE,1,149.9
MT,MS,2,144.2
GO,PB,1,140.0
MS,CE,1,139.0
MG,PA,1,139.0
RJ,PI,1,139.0
RR,MG,3,131.69
RS,MS,1,129.99
RN,MT,1,129.9
AM,MA,1,122.99
AP,MA,1,122.99
PA,SE,1,119.9
MA,AM,1,114.0
MG,AM,1,114.0
DF,ES,1,112.0
SP,PI,2,109.0
AP,RJ,1,108.0
ES,RO,1,107.0
SE,ES,1,101.0
RO,ES,1,99.0
PR,PA,1,99.0
AC,GO,1,98.99
AL,RN,1,94.9
RJ,SE,1,89.9
ES,SE,1,89.9
AP,GO,1,75.0
PB,PI,1,71.0
PA,PB,1,67.9
MA,PB,1,67.9
AC,MA,1,66.99
RN,PB,1,49.9
SE,RO,1,42.36
SE,PB,1,39.9
DF,RN,1,32.9
ES,PB,1,27.6
RS,CE,1,27.5
MG,RN,1,26.0
RO,GO,1,24.9
RN,GO,1,16.9
AC,RJ,1,16.9
