category_name_en,seller_id,seller_state,revenue_items_only,sold_items
agro_industry_and_commerce,e59aa562b9f8076dd550fcddf0e73491,PR,31574.3,84
agro_industry_and_commerce,6bd69102ab48df500790a8cecfc285c2,SP,8070.0,5
agro_industry_and_commerce,f08a5b9dd6767129688d001acafc21e5,RS,7535.54,9
agro_industry_and_commerce,2528744c5ef5d955adc318720a94d2e7,SP,6245.0,5
agro_industry_and_commerce,31ae0774c17fabd06ff707cc5bde005f,SP,5169.89,7
agro_industry_and_commerce,6481e96574816ead57975da2c0f6d80d,SP,1992.6,15
agro_industry_and_commerce,d17f467e4bf608a510c20d82f4ba3b6b,RS,1948.04,7
agro_industry_and_commerce,397c4d0c005b6f41f90098ac724e28cb,SP,1899.0,1
agro_industry_and_commerce,a420f60ff1aa9acc80d0e42959f2b313,SP,1234.0,1
agro_industry_and_commerce,cfd7ddab722b902f7ac5b5f3ba6d723d,MG,996.0,2
agro_industry_and_commerce,269cff2d3c8d205c11f37a52402ea93b,SP,721.69,4
agro_industry_and_commerce,1996942dc085d7773ba77a529b163cd0,SP,559.99,1
agro_industry_and_commerce,0ed6ce5d87fd9c69eaacaeb778d67235,SP,544.6,4
agro_industry_and_commerce,299c89a525fee36c567f4fe72f038100,CE,469.0,1
agro_industry_and_commerce,634964b17796e64304cadf1ad3050fb7,RJ,420.0,1
agro_industry_and_commerce,ef506c96320abeedfb894c34db06f478,SP,407.87,13
agro_industry_and_commerce,b2ba3715d723d245138f291a6fe42594,SP,384.9,1
agro_industry_and_commerce,d9e8c084b68fe958861d8f2c21202e6b,SP,350.0,10
agro_industry_and_commerce,955fee9216a65b617aa5c0531780ce60,SP,285.5,14
agro_industry_and_commerce,88ef59b51bdaa941d10a853429f2b6ce,PR,252.9,2
agro_industry_and_commerce,7238a95bb63ef7e498389fb863b834a1,SP,228.0,3
agro_industry_and_commerce,55bb6fe5bebe5012e2d7d9928e1128ff,SP,197.0,2
agro_industry_and_commerce,06579cb253ecd5a3a12a9e6eb6bf8f47,SP,186.8,2
agro_industry_and_commerce,4e922959ae960d389249c378d1c939f5,SP,177.0,7
agro_industry_and_commerce,5194c22ed1f616ec0c0f33c571542879,MG,149.9,1
agro_industry_and_commerce,8a9260f2b0340411d6d2a56bcf4f7378,MG,120.0,1
agro_industry_and_commerce,c9e5ad1f6647f5dbd1172adf6ae3cada,RS,113.15,2
agro_industry_and_commerce,6b2612338467c08c9b25f0cc55b1578d,PR,92.9,1
agro_industry_and_commerce,edc518ba25576a0188a0e8f2c3af186f,SP,56.81,1
agro_industry_and_commerce,d297f1055de2956aedfd3b04113dce3e,SP,54.3,1
agro_industry_and_commerce,85cc55e048b6bcc90c75afe7f0e72f72,RJ,33.9,1
agro_industry_and_commerce,3d0cd21d41671c46f82cd11176bf7277,SC,33.9,1
agro_industry_and_commerce,f3c38ab652836d21de61fb8314b69182,SP,13.0,1
agro_industry_and_commerce,fd386aa7bed2af3c7035c65506c9b4a3,SP,12.99,1
air_conditioning,7901646fdd36a55f564ffaf2dbccaaf7,RJ,8900.08,13
air_conditioning,6a51fc556dab5f766ced6fbc860bc613,SP,6046.27,27
air_conditioning,fcdd820084f17e9982427971e4e9d47f,SP,4640.0,26
air_conditioning,7a241947449cc45dbfda4f9d0798d9d0,MG,4014.98,33
air_conditioning,f3b80352b986ab4d1057a4b724be19d0,DF,3320.0,5
air_conditioning,4391ea5c5990502176a1dcda44a2373d,RS,2254.0,4
air_conditioning,a420f60ff1aa9acc80d0e42959f2b313,SP,2193.0,11
air_conditioning,15aac934c58d886785ac1b17953ea898,ES,1742.0,4
air_conditioning,ed859002ad59dbf8cf3602696a6c3000,PR,1706.9,11
air_conditioning,850857dfac77488c307e2b1cbd84ab5a,PR,1599.0,1
air_conditioning,01cf7e3d21494c41fb86034f2e714fa1,PR,1441.1,20
air_conditioning,5151aea44289d6c6b090ee31c2132508,SP,1315.3,7
air_conditioning,2199e7fe213c16213bf5d6a7eadc9a5d,SP,1174.6,5
air_conditioning,10089e9f2fd0c668a8fd4e52e1698888,SP,1139.9,3
air_conditioning,abc015ebac1d283a323ca9db35ede4b9,SP,1052.8,12
air_conditioning,d91fb3b7d041e83b64a00a3edfb37e4f,SP,997.7,13
air_conditioning,d71d863e5ef30d94e440c11be17dcd8f,SP,947.9,9
air_conditioning,23d7c96d4a1160db1c726b248601b25a,SP,894.94,5
air_conditioning,1099a00e0ee3a50935e6c2447ca090c5,RJ,849.7,3
air_conditioning,11742f81550ac064cc9a40f67151d9ad,SP,781.9,2
air_conditioning,56db5c0782e8f7ddc9343f9576ff6d16,SC,734.8,2
air_conditioning,4736e9d642ef4257cd7622516931eb51,SP,636.97,6
air_conditioning,8ff1a9df749e454105c55cda13e79143,SP,479.7,3
air_conditioning,8b321bb669392f5163d04c59e235e066,SP,474.9,11
air_conditioning,6b333a05bf188ef3e1f1662a86bd9855,DF,458.0,2
air_conditioning,128639473a139ac0f3e5f5ade55873a5,PR,401.7,13
air_conditioning,9a1aea68d3efa00862ec88c0768037d0,SP,349.8,2
air_conditioning,ea4e9ce63a2134743b4a92777437fcdd,SC,316.6,4
air_conditioning,240b9776d844d37535668549a396af32,RJ,309.89,2
air_conditioning,5b664594895aefb418afaee6d40a9a23,RJ,305.6,4
air_conditioning,c7dcd301ecfe5ab7f778ac172cf74be7,MG,299.99,1
air_conditioning,45d33f715e24d15a6ccf5c17b3a23e3c,SP,299.87,1
air_conditioning,b2ba3715d723d245138f291a6fe42594,SP,269.9,1
air_conditioning,7b8e8ec35bad4b0ef7e3963650b0a87b,SC,264.88,2
air_conditioning,41ab63a91b8b264e8c8780368bf1dd5b,MG,239.59,1
air_conditioning,4978a02ea9c8be7a9b5480680f40334e,SP,233.99,1
air_conditioning,52d76513f0c4d97f3b99570e2c94ee31,RS,229.9,1
air_conditioning,34f563c82a85b99ae9e6d60db5fc2e28,RS,209.9,1
air_conditioning,e5e33c0d8e7e002f398f5dc4cbbb338f,SP,203.8,2
air_conditioning,e59e575a175fadcadf8479e191770425,RJ,199.9,1
air_conditioning,ce248b21cb2adc36282ede306b7660e5,SC,169.9,1
air_conditioning,515d781150feed28a6ac091bb0e3cb8c,MS,161.99,1
air_conditioning,0ed6ce5d87fd9c69eaacaeb778d67235,SP,124.5,5
air_conditioning,71593c7413973a1e160057b80d4958f6,SP,119.8,2
air_conditioning,ac6417315ae5da8f9a38ee11de6f7780,SP,110.3,1
air_conditioning,1da3aeb70d7989d1e6d9b0e887f97c23,SP,94.98,2
air_conditioning,cda598c48d7c614bc1cad7d8ff6f0010,SP,79.9,1
air_conditioning,eb5b6204dde3a6e03b5f1bb8479f055b,SP,74.97,3
air_conditioning,ab9db4cf53b08b828b64dccaafc2d9f0,RS,51.98,2
air_conditioning,18a349e75d307f4b4cc646a691ed4216,SP,40.0,2
air_conditioning,e8f6dc8e6a1dcde89d20e3995c8d90b3,SP,39.9,1
air_conditioning,8d956fec2e4337affcb520f56fd8cbfd,SP,24.99,1
art,c31eff8334d6b3047ed34bebd4d62c36,SP,10803.72,107
